PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0.04,2.26,102.4,4.46,-3.12,-0.59,3.63,3.79,0.61,91.95,64.04,3.12
0.02,3.54,101.78,5.36,1.64,1.71,4.75,4.18,0.5,90.33,83.34,3.32
0.08,3.97,100.77,10.67,3.36,2.68,4.74,7.81,0.76,90.53,83.6,6.04
0,1.89,101.84,8.5,-3.17,-0.1,4.7,7.16,0.67,90.25,79.13,5.88
0,2.5,102.19,6.1,-0.8,0.6,4.31,4.92,0.55,90.24,74.66,3.98
0.71,4.27,101.65,6.97,2.51,2.19,3.05,4.98,0.48,87.27,56.41,3.84
2.87,4.09,101.71,6.64,2.38,2.33,2.32,5.1,0.41,75.88,43.77,3.99
0,2.2,102.55,6.48,-1.12,1.12,5.4,5.42,0.81,98.99,95.19,4.45
0.04,3.78,102.24,7.1,2.86,2.88,4.67,5.16,0.8,90.68,82.77,4.01
0.01,5.43,101.71,5.88,5.73,4.8,5.06,3.91,0.91,94.65,91.55,2.78
0.58,6.29,100.88,3.01,7.91,5.85,4.59,2.11,0.5,94.83,85.39,1.41
0.1,5.8,100.9,4.86,6.78,5.4,4.05,3.31,0.91,92.7,75,2.31
0.1,3.48,102.51,7.94,2.36,3.12,5.17,6.62,1.02,103.79,91.7,5.36
22.6,4.7,102.03,9.68,4.34,3.9,1.55,7.49,0.49,102.62,32.17,5.89
6.55,7.02,100.56,7.52,9.3,7.33,2.09,4.91,0.6,92.86,41.62,3.36
0.03,6.1,100.66,7.87,9.25,7,5.55,4.84,1.12,103.53,100.26,3.22
0,4.88,101.25,5.39,7.34,5.93,6,3.59,1.16,108.31,107.18,2.57
0.02,4.94,101.73,4.16,6.33,6.12,6.09,2.88,1.1,109.34,109.19,2.09
0.64,5.55,101.66,6.37,6.52,6.42,5.2,4.85,1.03,105.3,94.97,3.75
4.59,6.35,100.96,7.11,8.52,7.71,5.03,5.16,1.03,98.82,91.48,3.99
0.01,4.94,101.89,5.34,7.34,6.83,6.17,3.71,1.17,110.45,109.66,2.79
1.96,5.49,102.38,6.59,7.39,6.76,5.16,4.71,1.07,112.77,94.27,3.54
8.48,7.2,101.5,10.55,9.62,8.07,5.05,7.23,1.23,113.63,96.44,5.43
7.49,4.76,100.95,9.74,4.53,4.98,1.16,7.99,0.4,108.22,25.1,6.33
1.58,3.05,101.11,10.75,2.28,3.85,6.56,8.91,1.35,116.72,114.77,7.12
1.43,3.91,101.59,6.48,3.28,4.06,2.91,5.09,0.52,109.05,55.02,4.03
0.47,5.25,101.48,4.62,5.57,5.83,4.19,3.69,0.88,103.41,78.48,2.9
0.08,5.49,101.52,5.32,6.23,6.3,3.79,4.12,0.84,100.99,71.27,3.23
0.86,4.88,101.42,8.63,4.78,5.12,1.39,7.35,0.48,109.23,28.79,5.88
1.76,4.76,101.17,6.34,3.89,4.55,1.39,5.39,0.45,113.88,29.18,4.37
0.01,3.48,102.56,8.24,3.62,4.4,6.81,6.43,1.38,123.3,120.05,5.07
16.03,3.54,103.12,10.55,1.71,3.18,0.86,8.96,0.25,115.4,18.34,7.18
1.17,3.97,102.5,8.72,2.42,3.72,1.7,7.41,0.63,122.59,35.26,6
11.27,4.21,102.07,9.23,2.73,3.72,1.26,7.75,0.48,121.9,26.87,6.26
0.03,4.15,101.92,9.15,3.8,4.31,4.5,7.48,1.36,122.36,84.12,5.97
18.45,5.07,100.76,11.93,5.06,4.91,2.59,9.73,0.81,122.9,51.71,7.65
4.51,5.8,100.1,9.63,8.61,7,4.11,6.73,1.06,124.62,78.56,4.93
0,4.76,101.79,5.83,8.14,6.64,7.29,3.94,1.45,129,128.68,2.84
0,4.94,102.67,5.77,6.45,6.58,7.12,4.45,1.36,127.28,126.96,3.45
0.13,6.71,101.79,10.56,10.33,8.65,6.92,7.22,1.46,127.56,126.38,5.41
0.03,8.61,101.07,10.73,14.03,10.44,6.43,7.14,1.38,116.8,115.37,5
0.17,3.78,102.66,11.04,4.5,5.42,3.68,9.36,1.12,120.76,71.66,7.46
0.05,4.33,103.04,8.6,4.96,5.5,3.19,7.12,0.88,118.48,61.3,5.71
0,5.13,102.8,6.5,6.94,6.86,6.82,4.8,1.52,124.7,121.81,3.7
0,5.49,102.33,5.68,7.89,7.76,6.89,4.13,1.55,129.8,123.57,3.16
4.82,5.43,101.43,4.05,7.37,7.75,5.98,3.45,1.62,131.72,111.05,2.77
6.18,6.9,100.46,3.94,9.61,8.74,3.92,2.73,1.18,131.67,76.78,1.91
0.03,4.58,100.78,9.91,6.84,6.76,4.82,7.64,1.28,134.86,90.3,5.97
0.39,4.33,101.08,9.8,7.35,7.01,7.53,6.98,1.5,137.6,133.84,5.33
0.72,5.49,101.27,5.32,8.67,7.97,6.81,3.7,1.61,133.08,123.4,2.69
13.31,6.96,100.51,8.95,9.22,8.26,1.5,6.45,0.49,134.72,32.06,4.79
0.02,6.65,101.09,4.63,11.62,9.58,7,3,1.69,135.84,127.66,2.03
0,6.71,101.38,6.72,11.87,10,7.6,4.25,0.5,136.41,136.23,2.87
0.78,7.87,101,6.38,12.94,10.26,5.21,4.03,1.39,129.53,97.55,2.73
0,5.86,101.86,5.36,10.3,9.49,7.29,3.41,1.69,136.64,132.92,2.38
1.31,8.3,101.55,7.95,11.93,10.69,4.36,5.26,1.29,130.12,85.31,3.81
2.31,8.18,100.86,7.47,11.87,10.7,5.29,5.02,1.51,127.19,99.23,3.59
0.94,6.35,101.52,6.35,10.76,9.94,5.1,4.62,1.58,141.89,97.12,3.48
0.21,5.92,102.13,2.63,9.71,9.14,5.16,1.84,1.3,140.37,96.1,1.29
1.59,5.86,102,4.26,9.01,8.76,3.59,3.18,0.9,140.6,70.4,2.43
1.46,7.51,101.4,4.16,10.66,10.12,2.55,3.14,0.82,144.8,52.17,2.36
3.7,8.61,101.16,5.39,12.94,11.93,6.44,3.54,1.65,138.1,121.03,2.41
3.7,7.81,101.21,4.57,11.6,11.35,1.57,3.2,0.48,126.01,33.46,2.3
0.95,7.69,101.3,4.02,12.31,11.76,2.97,2.76,0.88,136.17,60.46,2.07
0.13,8.12,101.06,3.97,12.6,11.84,4.22,2.55,1.31,139.34,83.65,1.71
1,8.48,100.4,6.21,12.05,11.59,2.01,4.8,0.55,107.27,40.79,3.61
0.13,7.75,99.95,8.95,13.2,11.95,3.54,5.83,1.18,140.12,70.52,4.27
0.01,6.65,100.32,8.92,11.58,10.91,4.22,6.25,1.13,147.23,82.57,4.78
0.01,7.02,101.08,5.58,12.16,11.49,6.83,3.91,1.52,147.2,128.14,2.74
0.01,7.51,102.01,5.62,12.15,11.9,5.33,4.13,1.28,145.54,101.16,3.03
1.32,6.71,102.55,11.41,10.55,10.62,4.53,9.43,1.28,144.7,89.08,7.41
0.06,5.92,102.75,6.62,9.55,10.4,5.22,5.64,1.46,150.96,101.3,4.57
0,5.8,102.63,3.91,10.36,10.69,5.96,3.3,1.49,148.93,109.74,2.66
0,5.92,102.62,2.79,13.48,12.01,8.39,2.16,0.5,150.78,150.49,1.56
0.02,6.9,102.32,5.07,13.62,12.43,7.63,3.32,0.5,147.69,137.37,2.28
8.93,8.24,101.99,3.62,12.34,11.7,1.54,2.27,0.5,133.84,33.33,1.59
2.41,7.75,102.26,7.55,11.27,10.82,1.75,5.43,0.64,129.28,37.6,4.17
5.84,7.45,102.13,6.51,10.86,10.67,2.4,4.78,0.82,147.64,50.91,3.7
4.99,8.06,101.53,7.78,11.83,11.41,2.56,5.69,0.91,148.91,54.28,4.34
1.99,7.87,101.62,2.95,11.93,11.6,3.08,2.16,0.99,147.33,63.63,1.58
40.56,7.69,101.31,8.31,11.12,10.86,1.92,6.51,0.61,147.26,41.01,5.09
2.5,7.75,101.54,3.77,12.32,12.35,6.08,2.89,1.6,148.16,115.84,2.21
5.27,8.61,100.82,5.44,13.18,12.67,5.76,3.7,1.54,140.11,109.73,2.76
0.18,8.67,100.26,7.23,14.19,13.17,7.1,4.81,1.6,142.67,131.7,3.51
2.47,9.52,100.1,3.48,16.77,14.27,7.18,2.32,1.69,144.77,134.25,1.5
10.38,9.64,100.03,6.22,14.28,13.15,2.9,4.48,0.73,128.31,57.86,3.33
26.68,9.28,99.58,11.79,14.5,13.42,2.35,8.84,0.73,144.14,50.02,6.77
0.07,7.39,101.11,7.19,14.24,13.53,7.24,5.08,0.5,139.53,129.02,3.7
2.78,8.61,101.55,4.05,14.22,13.76,3.22,2.77,0.85,137.15,63.3,1.98
48.99,8.85,101.14,7.84,13.14,13.41,1.73,6.48,0.69,139.62,38.41,5.15
1.35,9.46,100.79,4.9,15.3,14.7,4.17,3.21,1.31,150.08,81.92,2.32
0.1,9.28,101.36,6.02,16.35,15.33,7.49,4.01,0.5,139.97,137.2,2.92
27.84,9.64,101.24,6.06,14.23,14.03,1.66,4.57,0.56,131.67,36.16,3.51
0.94,9.77,101.06,4.53,15.26,15.32,4.99,3.4,1.77,152.34,98.72,2.59
0.22,10.31,101,5.02,16.31,16.43,5.56,3.54,1.85,155.11,107.59,2.72
0,10.56,101.54,6.05,18.12,17.13,8.11,3.84,2.14,152.53,149.9,2.73
4.19,12.08,101.24,7.1,17.9,17.21,4.76,4.73,1.43,141.01,93.38,3.51
10.6,13.31,101.23,4.23,20.2,18.44,4.38,2.73,1.38,135.62,87.1,1.8
19.51,11.35,101.17,5.91,16.71,16.7,2.27,4.61,0.87,133.62,48.18,3.55
7.42,12.39,100.93,4.95,18.86,17.74,5.99,3.53,1.96,143.48,116.55,2.48
0.13,11.41,101.32,4.37,19.19,17.64,6.44,2.75,1.98,154.57,123.7,1.85
0.08,8.73,102.27,7.09,14.96,15.44,6.6,5.84,1.88,151.55,123.8,4.68
1.9,8.3,102.32,3.68,14.1,14.84,7.09,3.11,1.94,159.02,132.73,2.54
19.67,11.11,101.32,4.88,16.72,16.2,2,3.5,0.73,140.59,43.49,2.65
8.04,11.78,100.83,2.14,17.48,16.81,2.72,1.53,0.85,144.04,56.52,1.05
6.56,11.23,100.95,6.54,17.06,16.68,4.02,4.83,1.33,134.9,80.69,3.62
24.75,10.74,100.91,6.32,16.23,16.28,1.23,4.96,0.49,146.86,27.8,3.93
4.66,10.99,100.65,4.81,16.91,17.03,2.37,3.58,0.8,147.55,50.78,2.77
0.5,12.08,100.8,3.28,20.62,19.05,7.85,2.31,2.08,151.04,148.03,1.66
0.07,12.51,101.32,2.09,23.11,19.99,7.05,1.41,1.73,128.95,128.1,0.91
0,12.76,101.32,5.35,22.83,20.11,7.85,3.47,2.16,148.17,145.66,2.18
0.12,14.95,100.95,3.61,24.87,21.76,7.17,2.3,0.5,139.41,135.56,1.47
0.05,15.01,100.8,5.75,23.72,21.49,6.87,3.66,1.84,133.52,127.95,2.35
0,11.6,101.64,4.35,21.05,20.05,6.05,2.8,1.77,144.97,113.34,1.99
0.38,13.67,101.95,5.27,21.05,20.97,6.42,3.85,1.8,135.7,120.78,2.95
1.31,14.59,101.77,5.98,22.63,21.51,5.18,3.8,1.51,134.89,101.08,2.68
0,11.54,101.73,4.4,21.83,21.05,8.44,3.09,2.48,156.73,156.01,2.27
0.02,13.31,101.4,5.13,21.9,21.27,6.64,3.43,2.02,150.19,125.99,2.54
6.37,14.47,101.04,3.84,21.01,21.09,2.86,2.99,1.13,151.01,60.62,2.28
0.15,15.26,100.96,5.65,23.33,22.26,6.97,3.55,1.85,133.61,129.39,2.51
0.19,16.91,100.93,7.95,24.85,23.32,7.08,5,2.12,142.49,135.91,3.55
0.28,15.81,101.06,5.53,24.88,23.44,7.54,3.5,2.3,150.13,144.73,2.3
0.58,16.17,101.14,3.77,24.47,23.59,6.69,2.37,2.05,143.27,128.88,1.55
0.21,16.72,101.08,6.38,24.84,23.55,7.03,3.91,0.5,147.12,135.41,2.7
1.01,15.44,101.12,4.06,23.03,22.59,3.75,2.98,1.35,135.39,75.83,2.2
7.1,12.88,101.32,7.28,20.24,20.9,1.7,6.09,0.77,142.02,37.66,4.93
2.7,15.56,100.66,7.08,22.38,21.9,4.73,4.94,1.7,146.44,95.45,3.75
0.03,13.73,101.1,7.85,22.54,21.7,7.52,5.16,2.24,147.37,140.73,3.89
0.02,12.76,101.67,3.77,22.27,21.63,7.38,2.69,2.17,148.9,139.99,1.97
1.15,13.31,102.12,4.2,20.86,20.93,3.41,3.39,1.12,143.02,70.63,2.71
0.02,12.94,101.8,3.88,21.25,21.51,7.84,3.19,2.16,150.01,146.37,2.56
0.34,15.44,101.24,8.05,22.87,22.08,4.71,5.72,0.5,144.57,94.09,4.33
0.96,12.57,101.53,5.14,22.53,21.94,8.18,3.56,2.34,152.86,152.14,2.57
6.25,13.92,101.38,5.68,22.68,22.11,4.23,3.89,1.34,137.34,83.75,2.91
0.9,11.66,101.31,3.24,22.39,22.02,6.42,2.58,1.88,144.08,122.52,2.05
0.09,12.63,101.44,4.48,22.44,22.25,7.88,3.28,1.97,149.07,146.93,2.52
15.89,15.81,101.05,9.62,22.68,22.26,4.75,7.34,1.52,139.24,94.24,5.7
19.08,16.85,100.67,8.62,23.38,22.81,4.7,6.31,1.52,132.24,93.21,4.87
3.12,16.17,100.92,8.31,22.8,22.4,3.48,6.22,1.17,135.02,71.78,4.86
1.41,15.2,101.37,8.13,22.6,22.05,5.35,5.81,1.61,133.05,104.09,4.48
0,13.43,102.1,4.5,22.76,22.16,7.5,3.04,2.16,144,140.5,2.23
0.11,13.92,102.07,6.7,22.81,22.07,7.11,4.55,1.88,140.09,133.29,3.42
1.25,15.56,101.11,10.08,23.86,22.54,5.23,6.88,1.68,129.15,101.87,5.2
1.02,13.79,100.83,4.7,23.35,22.19,5.8,3.02,1.95,144.73,114.14,2.1
1.67,12.02,101.33,4.26,20.98,21.44,6.76,3.51,2.04,145.28,129.29,2.86
0.01,12.82,101.99,3.65,21.22,21.19,4.89,2.84,1.52,142.62,95.62,2.21
2.93,13,102,6.58,21.3,21.65,4.24,5.38,1.45,143.4,84.28,4.32
15.17,15.99,101.62,6.73,22.55,22.25,3.75,4.71,1.25,131.8,75.57,3.59
5.82,16.72,101.57,6.52,23.31,22.74,4.97,4.27,1.62,132.73,98.98,3.19
6.58,16.85,101.72,7.02,23.37,22.82,6.13,4.79,0.5,138.09,120.76,3.65
14.09,16.85,101.34,6.62,23.43,22.97,5.23,4.65,1.77,138.04,105.08,3.54
14.14,16.48,101.04,6.28,22.76,22.46,3.11,4.51,1.15,130.19,64.87,3.5
4.88,15.81,101.05,6.21,22.54,22.39,6.25,4.52,1.9,136.98,121.68,3.53
13.35,16.11,101.1,3.8,22.72,22.52,2.65,2.64,0.91,131.13,55.71,2.01
2.78,16.48,101.02,5.21,23.31,22.93,4,3.79,1.32,130.1,80.12,3.01
16.86,16.6,101.43,6.34,23.08,22.75,3.23,4.52,1.2,133.26,68.07,3.48
5.48,16.36,101.39,8.19,23.03,22.61,5.08,6.09,1.6,131.68,100.57,4.73
2.84,16.05,101.38,5.71,22.67,22.35,4.45,3.88,1.5,129.95,89.83,2.95
0.26,16.11,101.84,4.18,23.26,23,4.7,2.81,1.52,124.31,92.36,2.07
0.23,16.66,102.3,5.25,24,23.48,4.55,3.47,1.4,120.09,89.16,2.6
0.03,15.69,102.25,4.8,25.37,24.19,6.32,3.17,1.58,121.96,117.81,2.19
0,14.59,101.76,4.03,24.71,23.97,6.72,2.9,1.74,123.36,122.66,2.14
2.17,16.85,100.91,6.1,24.24,23.8,4.33,4.32,1.37,119.7,85.2,3.34
8.85,15.38,100.93,4.41,22.65,22.9,3.51,3.55,1,104.6,68.87,2.84
0.07,12.94,101.64,3.17,21.94,22.57,6.45,2.73,1.59,125.16,120.47,2.25
0.01,13.73,101.99,4.08,23.19,23.1,6.62,3.1,1.63,125.03,123.41,2.45
0,14.53,101.88,5.8,23.59,23.37,6.43,4.2,1.66,120.32,119,3.23
0.01,16.17,101.51,6.29,24.33,23.9,5.97,4.43,0.5,117.3,111.16,3.41
1.38,17.58,100.9,7.3,25,24.15,5.55,4.83,1.45,112.68,104.9,3.61
0.22,11.9,101.09,7.09,22.61,22.3,7.02,5.13,1.88,131.8,130.18,3.98
0,8.79,101.57,5.73,19.91,20.47,7.01,4.34,1.76,133.09,127.05,3.42
0.01,11.96,101.33,6.48,21.94,21.46,6.01,4.48,1.57,120.21,113.15,3.4
0.01,14.22,101.1,4.84,22.61,22.14,4.41,3.2,1.32,119.95,86.24,2.38
0.35,15.32,100.96,6.21,24.11,23.12,5.18,4.15,1.38,116.2,99.17,2.95
0,11.96,101.69,4.1,22.59,22.27,6.73,3.08,1.68,124.22,123.3,2.38
1.8,15.26,101.72,6.68,22.84,22.5,3.52,4.79,0.5,106.76,69.13,3.65
7.09,15.44,101.61,4.96,24.14,23.32,4.85,3.39,1.43,109.58,94.24,2.53
0.21,9.52,102.36,4.58,19.33,20.91,5.96,3.9,1.66,119.83,112.65,3.23
17.01,12.76,102.05,4.38,20.12,20.72,1.31,3.71,0.52,105.78,28.45,3.02
8.92,13,101.72,6.46,19.48,19.97,1.54,5.21,0.59,100.11,33.22,4.13
9.2,12.82,101.71,7.88,19.26,19.55,1.41,6.4,0.54,102.33,30.55,5.11
9.55,15.87,100.88,6.7,21.94,21.02,1.56,4.43,0.55,106.43,33.49,3.31
0.2,11.9,101.2,6.3,20.67,20.5,5.82,4.58,1.54,117.48,108.77,3.51
0,10.19,101.64,3.83,19.78,19.98,6.41,3.11,1.49,120.58,118.03,2.51
0,10.68,101.52,2.91,20.46,20.32,6.12,2.1,1.53,117.09,112.51,1.55
0,12.02,101.72,5.08,20.19,20.37,5.42,4.09,1.4,110.09,101.89,3.24
0,9.64,102.33,8.2,18.94,19.6,5.81,6.73,1.55,116.55,108.34,5.42
0.01,8.97,102.25,3.8,18.92,19.65,6.34,3.16,1.51,116.25,116.04,2.62
0,11.41,102.25,6.19,19.75,20.15,5.75,4.95,1.34,106.93,105.66,3.93
1.08,10.86,102.33,10.11,19.26,19.91,4.55,8.41,1.26,109.95,86.48,6.7
6.72,14.71,102.13,8.8,21.15,20.99,2.94,6.88,1.01,111.25,60.15,5.39
4.93,15.56,102.17,7.3,22.26,21.84,4.34,5.06,1.31,113.53,86.97,3.85
8.78,15.2,101.73,6.81,21.52,21.05,2.5,4.66,0.9,108.05,51.77,3.56
0.93,12.02,101.62,5.53,21.14,20.66,5.8,3.91,1.45,109.6,108.36,2.9
0.02,10.38,102.28,6.83,19.76,19.97,5.83,5.34,1.36,107.59,106.31,4.25
8.39,11.17,102.14,14.12,19.95,19.76,1.92,11.43,0.67,101.7,40.33,8.9
5.55,15.26,101.54,12.88,22.31,21.41,5.22,9.78,1.45,102.18,99.05,7.47
0.01,13.49,101.88,4.12,21.76,21.19,5.11,2.66,1.3,98.92,95.3,1.81
0,9.58,102.27,4.11,19.88,19.93,5.31,3.24,1.23,98.82,97.1,2.54
0.23,11.54,102.04,6.61,19.78,19.75,2.92,5.41,0.93,97.31,57.62,4.27
25.46,13,100.96,9.88,20.62,19.94,2.15,7.53,0.7,95.87,43.74,5.83
0,9.46,101.73,4.28,18.47,19.26,5.43,3.43,1.19,98.89,98.55,2.74
0.2,12.51,101.46,7.6,20.35,20.15,4.95,5.73,1.18,97.73,91.94,4.47
0.45,13.61,101.54,2.97,20.23,20.37,3.56,2.23,0.86,89.3,68,1.76
5.84,14.77,101.33,8.48,21.4,21.06,4.43,6.34,1.07,99.01,85.59,4.88
17.12,13.55,100.55,7.38,19.86,20.11,1.65,5.87,0.57,95.27,34.32,4.66
0.24,8.48,101.22,5.43,16.51,18.19,4.33,4.45,1.04,95.61,80.14,3.63
0,6.84,102.12,4.97,14.94,17.46,5.21,4.09,1.09,97.09,93.88,3.35
0.11,7.26,101.94,4.26,15.19,17.44,3.54,3.49,0.88,90.19,66.01,2.88
0.05,6.04,101.6,7.73,13.03,16.2,4.26,6.39,0.85,91.33,76.21,5.2
0,5.37,101.94,6.73,11.29,15.59,5.37,5.38,0.97,94.8,94.45,4.42
0.98,8.18,101.08,9.62,14.97,16.26,1.17,7.61,0.3,85.48,23.43,6.1
0.01,5.98,101.4,5.7,13.14,15.52,4.19,4.79,0.81,90.4,75.99,3.93
0,5.13,101.85,3.5,12.86,15.16,4.66,3.07,0.89,89.94,84.1,2.59
0,5.86,102.13,3.55,14.65,15.73,4.89,2.93,0.84,88.6,88.22,2.38
0,10.74,102.17,5.8,17.16,17.23,4.15,4.33,0.79,83.7,76.7,3.34
0,10.44,102.11,2.74,17.43,17.44,3.63,2.13,0.74,80.6,67.44,1.64
0.31,11.11,102.03,7.42,17.19,17.46,1.58,5.98,0.35,64.17,30.09,4.75
0.94,9.58,101.76,9.84,16.98,17.41,3.38,7.91,0.77,84.45,64.67,6.3
6.13,10.01,100.81,8.48,16.5,16.9,1.49,6.88,0.41,82.8,30.27,5.43
0,8.12,101.13,6.34,16.3,16.57,4.75,4.81,0.91,86.21,86.03,3.76
9.45,10.13,100.8,7.7,16.27,16.69,2.8,6.18,0.71,81.01,52.84,4.85
11.09,7.57,99.64,15.33,15.17,16.04,3.45,12.36,0.5,77.48,62.93,9.61
0.2,6.71,101.46,9.2,14.16,15.13,3.91,7.31,0.7,75.84,69.52,5.84
4.64,6.29,101.95,3.8,12.09,14.59,1.49,3.29,0.39,74.87,29.62,2.77
0.72,5.62,101.56,5.09,10.9,13.74,3.38,4.3,0.6,76.42,61.58,3.59
0.78,6.16,101.39,7.16,11.28,13.3,1.39,5.91,0.26,59.79,25.67,4.78
0.01,6.1,101.87,5.38,11.19,13.46,4.1,4.38,0.6,74.56,73.42,3.55
0.49,10.19,100.05,10.79,16.74,15.97,2.69,7.97,0.55,68.3,50.09,6.16
0.23,5.98,99.89,7.87,10.19,13.43,1.66,6.69,0.35,65.26,31.52,5.48
0.02,4.33,100.38,9.47,6.79,11.57,2.28,7.84,0.38,71.28,41.01,6.41
0.01,4.33,101.98,7.14,7.95,11.44,3.62,5.89,0.49,71.65,63.59,4.81
0.06,6.16,102.86,6.69,12.28,12.92,3.34,5.43,0.58,70.88,61.04,4.36
5.06,10.8,102.04,11.14,16.39,15.55,0.96,8.34,0.27,63.66,19.38,6.45
31.3,10.74,100.82,10.6,16.01,15.43,1.01,8.1,0.29,66.73,20.12,6.28
5.84,6.77,101.14,4.1,11.87,13.7,3.05,3.39,0.58,69.57,55.87,2.83
30.89,8.67,100.4,8.59,13.45,13.89,1.28,6.95,0.33,64.66,25.46,5.58
0,6.04,102.21,5.91,12.01,12.8,3.76,4.79,0.52,68.05,67.9,3.83
0,8.73,102.48,5.81,14.31,13.72,3.48,4.3,0.58,66.38,63.29,3.32
0,10.31,102.1,6.2,15.96,15.13,3.06,4.16,0.51,59.29,55.81,3.02
0.01,9.16,102.15,4.03,15.51,15.4,2.76,2.9,0.45,52.9,49.86,2.2
0.11,10.8,101.87,6.91,16.85,16.17,3.14,4.71,0.52,58.38,57.45,3.56
3,9.89,102.02,7.12,14.85,15.07,0.66,5.78,0.16,52.7,12.88,4.58
8.17,11.17,101.77,6.24,16.44,15.88,1.15,4.38,0.31,60.45,23.19,3.32
13.78,9.4,101.75,4.77,14.61,14.8,0.9,3.77,0.22,50.8,17.83,3.03
0.76,6.47,101.81,6.38,11.9,13.41,2.53,5.27,0.45,60.38,46.36,4.32
0,3.91,102.79,9.32,6.22,10.47,3.35,7.62,0.52,63.52,58.84,6.19
0,2.93,103.63,5.34,4.22,9.01,3.62,4.5,0.45,62.21,61.53,3.73
0,2.99,103.13,3.59,6.17,9.14,3.31,3.12,0.37,57.38,55.66,2.59
0.68,5.74,102.09,5.92,9.82,10.6,1.2,4.64,0.19,56.34,22.84,3.74
9.53,8.3,100.98,3.95,12.33,12.63,0.83,3.11,0.18,47.24,16.71,2.45
1.59,5.55,99.71,17.02,9.81,11.51,2.56,13.57,0.37,56.62,45.24,10.46
0,3.66,100.8,14.48,5.3,9.1,3.12,11.67,0.31,57.71,53.95,9.19
0,4.03,101.61,9.45,6.24,8.96,3.29,7.62,0.32,57.02,56.48,6.1
0.06,4.94,102.19,3.39,8.01,9.48,1.29,2.87,0.22,52.28,24.41,2.34
0.62,7.2,102.21,4.8,10.62,10.99,0.8,3.96,0.16,46.41,15.4,3.18
0.86,7.32,102.51,7.02,11.15,11.51,1.37,5.66,0.23,53.6,25.5,4.53
29.76,9.52,100.79,14.09,14.47,13.19,0.61,10.78,0.12,47.16,12.04,8.27
15.99,6.1,100.38,12.17,9.83,10.85,1.05,9.88,0.22,49.01,19.72,7.77
0,6.47,101.19,7.33,10.06,10.54,2.99,5.34,0.41,53.38,53.22,4.09
0,6.47,101.82,3.67,10.75,10.35,2.83,2.99,0.4,50.75,49.78,2.38
0.02,6.04,102.15,3.8,9.55,9.75,2.5,3.18,0.39,51.32,45.15,2.55
2.22,7.39,101.39,7.19,10.89,10.51,2.6,5.68,0.46,52.79,46.84,4.45
1.37,4.03,101.71,6.84,5.76,8.33,2.65,5.75,0.42,50.45,46.01,4.68
0.03,3.97,102.1,3.62,6.83,8.18,1.52,3.06,0.27,48.97,27.27,2.52
0.07,5.43,102.14,3.85,9.09,9.66,2.27,3.1,0.35,48.7,41.27,2.48
13.75,8.79,100.5,10.33,12.64,11.8,0.68,7.77,0.16,43.43,13.27,5.95
0.46,4.39,100.16,14.52,6.19,8.79,2.07,11.98,0.3,46.84,36.5,9.41
0.03,4.52,101.23,9.62,6.69,8.63,2.43,7.87,0.23,47.04,43.05,6.33
0.05,4.76,101.05,10.61,7.12,8.62,1.73,8.57,0.21,44.72,30.4,6.83
0.11,2.99,102.1,11.85,1.44,6.21,1.75,9.73,0.2,47.29,30.12,7.8
0.01,2.56,103.09,8.57,-0.78,5.42,2.73,7.09,0.24,48.22,46.26,5.84
0.01,3.11,102.86,6.28,2.73,6.14,1.85,5.16,0.21,47.05,33.18,4.22
13.86,4.03,102,11.18,2.87,6.26,0.39,9.54,0.05,36.52,7.53,7.59
16.2,3.54,100.84,14.77,0.06,5.15,0.45,12.64,0.07,43.09,8.72,9.98
0.2,2.99,100.87,12.72,-1.41,4.19,1.82,10.5,0.16,43.05,31.91,8.38
0,3.05,101.8,7.47,-0.17,3.84,2.36,6.06,0.19,44.51,40.99,4.91
0.11,3.17,102.29,2.45,2.44,4.16,1.16,2.16,0.15,41.41,20.95,1.8
1.31,5.49,101.74,7.88,7.05,6.35,1.54,6.04,0.2,42.03,28.57,4.7
26.44,7.08,99.51,15.41,10.25,9.19,0.68,11.84,0.1,42.74,13.34,9.04
0.01,3.48,101.46,9.23,3.73,6.1,2.6,7.36,0.25,44.98,44.7,5.92
0.12,2.81,102.75,6.58,1.17,5.19,2.39,5.37,0.24,45.8,40.78,4.46
25.23,4.58,101.68,11.78,3.9,5.83,0.24,9.71,0.03,39.02,4.2,7.65
0.47,3.97,100.55,12.74,2.57,5.37,1.9,10.55,0.25,42.75,33.79,8.34
0,4.27,101.94,6.68,4.15,5.4,2.34,5.22,0.23,44.11,40.55,4.16
16.27,6.35,100.22,12.34,7.91,7.53,1.51,9.54,0.23,38.93,28.25,7.42
0.01,3.42,100.26,11.8,1.67,4.7,1.61,9.84,0.2,40.3,27.99,7.87
0.06,3.05,100.6,5.58,1.15,4.04,1.46,4.55,0.17,43.29,26.29,3.73
0.03,3.23,101.28,7.25,1.38,3.96,2.07,5.89,0.16,41.25,35.28,4.8
0.01,3.11,102.21,9.4,1.31,3.81,2.09,7.66,0.16,43.34,36.64,6.2
0,4.52,101.83,8.65,4.74,4.8,1.93,6.54,0.17,41.94,33.82,5.14
0.06,5.74,101.76,8.34,7.32,6.37,1.94,5.7,0.21,39.62,34.1,4.34
