PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0,4.09,100.77,7.95,5.01,4.4,4.66,5.59,0.45,90.55,90.4,4.23
0,3.85,101.81,7.95,4.63,4.23,5.18,5.63,0.66,92.02,99.4,4.29
0.27,4.39,102.01,6.48,6.4,5.53,4.75,4.32,0.7,94.36,92.9,3.18
0.4,5.86,101.38,4.56,7.59,7.03,3.43,3.25,0.42,85.47,69.4,2.37
0.59,7.26,100.6,7.69,10.26,8.3,3.65,4.63,0.58,86.88,73.3,3.2
1.25,5.55,101.53,6.91,8.55,7.49,4.08,4.66,0.59,83.95,81.4,3.45
28.78,5.49,101.64,9.53,6.44,6.01,0.42,7.37,0.84,98.54,10.5,5.77
6.06,5.55,100.48,10.67,7.07,6.54,2.73,7.93,0.29,88.54,57.4,6.09
0.08,3.36,102.37,5.88,3.65,4.55,4.37,4.58,0.5,97.05,85.4,3.61
0.05,4.39,102.49,7.51,5.54,5.34,5.48,5.72,0.48,94.95,104.8,4.47
0,5.25,102.27,9.16,7.46,6.66,5.24,6.52,0.9,100.19,101.6,5.02
11.97,6.53,101.62,8.98,9.05,7.59,2.76,5.95,0.62,96.01,58.2,4.44
17.48,4.27,101.3,11.89,3.68,4.75,0.83,9.62,0.88,97.19,19.6,7.59
0,2.26,103.52,7.22,-0.95,2.97,5.82,6.2,0.5,103.84,112.2,5.12
0.02,3.17,103.33,5.48,1.8,3.84,3.41,4.68,1,106.62,70.4,3.85
0.14,4.15,102.94,8.49,3.8,4.69,2.32,7.12,0.3,102.93,50,5.75
1.11,4.64,102.85,11.31,4.48,4.85,1.47,9.52,0.26,106.46,33.5,7.57
0.29,4.82,102.8,8.71,5.1,5.08,2.71,7.05,0.95,103.92,57,5.57
0,4.82,102.5,3.2,5.99,6.51,5.76,2.75,0.55,94.49,112.2,2.26
0,5.31,102.04,5.53,8.94,7.48,6.21,3.73,1.02,106.43,119.4,2.73
1.88,5.74,101.3,8.48,7.9,7.14,4.12,6.05,0.46,93.09,82.3,4.62
5.72,5.49,100.44,8.55,9.51,7.72,5.49,5.21,0.85,104.59,107.4,3.63
2.23,5.62,100.34,7.59,7.51,6.73,5.11,5.52,0.92,111.16,100.3,4.21
14.76,6.16,98.96,10.27,9.19,7.98,4.62,7.2,0.59,103.79,92.3,5.5
0.14,5.25,100.3,9.71,7.78,7.2,4.62,7.15,0.23,113.74,91.6,5.55
0,5,101.24,5.91,7.21,7.02,5.63,4.22,0.9,114.71,109.9,3.16
0,4.58,101.68,6.1,6.73,6.9,6.33,4.41,0.59,109.02,122.1,3.3
0,4.82,102.15,5.45,7.42,7.67,6.35,3.99,0.7,114.88,122.1,3.08
0.02,6.59,101.67,9.81,9.58,8.67,1.56,7.12,1,113.8,35.3,5.49
1.98,8.12,101.05,7.45,11.37,10.1,2.34,4.78,1.08,118.17,50.3,3.45
4.92,7.81,99.85,11.98,11.82,9.89,0.56,8.38,1.1,120.92,13.9,6.26
0.03,3.97,100.64,9.78,5.89,6.52,4.8,7.9,0.39,106.3,97,6.27
0.02,5.86,100.5,8.77,9.29,8.2,5.14,5.91,0.77,111.31,103.9,4.41
0.04,5.68,101.39,6.15,9.29,8.33,5.09,3.92,0.47,115.9,102.2,2.81
1.76,7.51,100.27,12.78,11.2,9.95,6.84,9.57,1.3,117.58,131.9,7.34
8.05,3.97,100.07,13.33,4.4,5.82,2.47,10.92,1.22,118.91,52.5,8.57
0.05,4.09,101.88,8.44,6.03,6.4,6.36,6.43,0.81,120.07,123.2,5.05
2.7,4.76,102.44,5.95,5.55,6.6,2.87,5.09,0.84,110.01,61.7,4.18
0.59,4.46,102.26,8.34,6.84,7.39,6.71,6.72,0.99,117.45,130.3,5.34
0,3.05,103.17,5.2,4.71,6.58,6.92,4.37,1.47,130.8,133.3,3.57
0,4.27,102.8,4.21,6.76,7.33,7.01,3.4,1.25,123.74,136.1,2.7
11.47,7.51,102,5.33,10.27,8.9,1.98,3.44,0.97,120.88,44.2,2.38
7.05,8.79,101.25,4.88,13.98,11.37,3.38,3.32,0.85,113.65,70.2,2.25
6.56,5.68,101.95,10.3,7.67,8.04,0.53,8.61,1.05,122.63,13.4,6.82
4.08,5.31,101.66,13.33,6.69,7.23,1.39,11.2,1.2,129.48,32.5,8.82
0.7,6.04,101.54,9.29,8.71,8.62,2.7,7.14,0.98,123.61,58.4,5.54
0.99,6.1,101.63,4.91,8.68,9.31,5.77,4.2,0.86,114.58,116.2,3.38
42.96,7.02,100.65,9.58,9.3,9.01,0.54,7.78,1.41,126.16,13.6,6.12
2.41,6.59,99.91,5.8,8.95,9.2,2.4,4.74,1.6,129.99,53.4,3.68
1.72,5.68,100.26,8.15,7.89,8.48,1.94,6.67,1.77,128.95,44.4,5.33
0,5.92,100.84,7.43,10.67,9.83,7.24,5.38,1.02,139.2,142.3,3.97
1.87,5.37,101.24,9.39,7.45,8.08,2.42,7.73,1.66,138.4,54.4,6.2
0.3,4.64,101.53,7.41,6.13,7.68,2.77,6.21,1.42,134.6,61.6,5.06
0.04,4.88,101.62,3.68,6.63,8.24,5.44,3.12,1.59,140.98,111.5,2.59
0.02,6.04,101.33,4.16,9.14,9.58,5.09,3.33,1.56,141.72,104.6,2.64
0,6.1,101.16,4.99,10.24,10.53,7,3.96,1.6,135.62,138.9,3.13
